200 1000 3656793528482.72 1.303909788372188e+18 10 6.67e-08
-2.3864162514883195e+18 6.758296621803127e+18 -3.2644348572299735e+18 -14562.075131201957 -4220.757064864261 -12576.208051197536 1.9884098706980512e+33
4.4596925992341484e+18 1.8289023025699195e+18 -3.332779088613719e+18 11357.855467675347 -1604.7685763068355 10259.596909804826 1.9884098706980512e+33
-4.062890741655204e+18 -2.919609325353819e+18 1.4405899476396014e+18 26087.424196721542 6723.615670053703 -19117.595574962532 1.9884098706980512e+33
2.412221613986247e+18 -3.5735941101152297e+18 4.2427944376637635e+18 -10863.895787086214 -6224.129812600548 2379.8300480428443 1.9884098706980512e+33
-3.482459539729179e+18 -2.1589842791712346e+18 1.9484607932758756e+18 4327.207118548925 3037.562828843415 -14469.253635648896 1.9884098706980512e+33
-2.0305281263087862e+18 -3.375336649120151e+17 -4.2681580656146985e+18 -38195.71074373336 13708.56087930594 22389.72453568977 1.9884098706980512e+33
8.188745525880672e+17 -1.3126846429015798e+18 -3.034939400184977e+18 10412.037863726357 13322.813384352656 -11883.114374635812 1.9884098706980512e+33
-2.7293839950520704e+18 5.175533088134813e+18 2.2185907338818284e+18 5428.35904217024 -6336.373966726782 14349.942229744764 1.9884098706980512e+33
-1.849557322540287e+18 -6.0934385532644e+18 7.602386910222072e+17 -44726.79704389697 23299.87353605852 -6458.496180534342 1.9884098706980512e+33
-5.942731068008292e+18 1.101129177030153e+18 2.33438363698075e+17 22923.81772264536 106.84204257963616 -25954.260869146023 1.9884098706980512e+33
-5.011696386441457e+18 -2.9875586423352873e+18 7.644927091504842e+17 3199.733210047009 6234.441942228175 33134.87500658581 1.9884098706980512e+33
-4.332484324062575e+18 -3.890830319397424e+18 6.629815205742942e+18 -13236.67545894016 14842.52109803371 428.235263166358 1.9884098706980512e+33
2.892270077558147e+18 6.714061287181229e+18 -2.9966051878574003e+18 9308.88739383668 35977.97400268556 -10645.613944009852 1.9884098706980512e+33
6.344897742518617e+18 2.228722642805062e+17 6.527670603634696e+17 40219.94900225078 -10502.388385674885 32001.068998326362 1.9884098706980512e+33
-5.436421192553081e+18 -1.940446564635485e+18 1.3985722604415278e+18 25161.941482741793 9026.967198507915 -39054.41074811676 1.9884098706980512e+33
-3.6246750717857336e+18 6.230938771138249e+18 -2.833127030545765e+18 -2642.498371395214 10687.458017675592 13713.349125211165 1.9884098706980512e+33
9.442366305706456e+17 -5.991876435782874e+18 6.910952945804938e+18 7970.955407773163 -14332.999927099852 -26522.284915411474 1.9884098706980512e+33
-9071213550137346.0 -2.408897857866927e+17 -3.3481103304260774e+17 3872.0078217150754 -11178.375023305207 10650.237020516784 1.9884098706980512e+33
-2.271495995665994e+18 -6.241249165432519e+18 -5.986131201174317e+18 -4301.838236964761 24716.14019518955 43058.66627147084 1.9884098706980512e+33
-5.355654617784212e+18 -6.816599025728881e+18 4.768902651979193e+17 -17217.47394211362 -22149.614067696453 -9987.017767760297 1.9884098706980512e+33
1.2860408585554726e+18 7.930894279827539e+17 4.73444485474259e+18 -26864.861056742502 43156.26644780462 -4685.4323424159975 1.9884098706980512e+33
4.7928827736939974e+17 4.927029748612574e+18 3.2083164916008417e+18 -11212.944394806244 -9790.715448177873 -18836.874994545513 1.9884098706980512e+33
2.6010854595171707e+18 1.0927716957329902e+18 2.6103326767902223e+18 -8779.591282345464 -7583.758112656758 -6360.879337027247 1.9884098706980512e+33
3.3021865538116557e+18 -2.9965866372404367e+18 7.70027019165615e+18 32438.191620630787 -13712.561706505941 -22364.38195643929 1.9884098706980512e+33
3.9439458278936755e+18 2.1512863014210675e+18 -6.239317260538144e+18 -16400.68464116995 -7638.311711060753 -29549.645572983798 1.9884098706980512e+33
-7.103506074546869e+18 -5.91430697487027e+17 7.999822444583873e+17 -9898.796395473799 29874.867491007855 12033.19815036536 1.9884098706980512e+33
-4.317451548654216e+18 2.5992318604519245e+18 -9.570277136816873e+17 10738.064583239388 -5957.91824084021 -18477.98789802993 1.9884098706980512e+33
-7.02554404823021e+17 5.630317530236084e+18 2.5286807683062287e+18 -17475.54623911999 780.854023319757 15783.437018057912 1.9884098706980512e+33
5.966751668712472e+17 6.132732553757649e+18 4.3687337402739364e+18 -14043.0785749328 30135.723533071843 -41722.822054255295 1.9884098706980512e+33
-2.834843734871391e+18 2.0862359898439706e+18 -3.2269374809177544e+18 13823.775363254248 -15198.263465377599 -6664.68844931535 1.9884098706980512e+33
-4.464029972681952e+17 -5.62194108083686e+18 -5.436921978942179e+18 -13258.773515687066 14394.665560544545 22659.55296263095 1.9884098706980512e+33
5.5016364321655245e+17 -1.81590330380885e+18 -1.400723493492169e+18 32598.427000452135 21599.281528821135 606.6321468935281 1.9884098706980512e+33
6.379176635575646e+18 -1.150320267015196e+18 -3.0999001422935675e+18 31781.433872827387 -6215.117024138812 1145.7057661232986 1.9884098706980512e+33
-3.0190400146975785e+18 6.506896500617989e+18 -2.5597565159223127e+18 12831.972605512916 3015.2884362152536 30279.057508415288 1.9884098706980512e+33
-3.53353573767869e+18 -5.781877690650757e+18 5.112915305620324e+18 8221.018591866481 12980.929155848871 -6221.681977934263 1.9884098706980512e+33
5.0373411434089946e+17 2.211959560522469e+18 -4.748011722159647e+18 998.1862258732683 -18970.52282387625 14823.53642389098 1.9884098706980512e+33
-1.045043151395982e+17 5.352337630545638e+18 -2.4756515772416276e+18 -14070.237926680744 -18044.412723933143 -18297.165067316062 1.9884098706980512e+33
-7.671128308708236e+18 -3.02037102801626e+18 1.5985899097376218e+18 9225.063485077188 -48870.45752875079 16811.605869612562 1.9884098706980512e+33
-1.83629497101922e+18 1.693127762684046e+18 -2.1207935620700483e+18 3673.8205733391005 7772.5665291971545 -20436.334348080585 1.9884098706980512e+33
-6.243348847485454e+18 -3.1889166872687923e+18 2.048453181948026e+18 -18107.036722756373 -15911.784599084482 12948.341814475578 1.9884098706980512e+33
1.1668345008220777e+18 2.0198650816634957e+18 1.5300461997776748e+18 37354.60114186746 -23783.70741566646 18210.13796433942 1.9884098706980512e+33
6.802473570094527e+18 -6.335405520021367e+18 -1.0374396637339974e+18 -15950.346269706755 3755.4493885937027 -8877.593197971633 1.9884098706980512e+33
3.351816852243678e+17 -5.729052405088941e+18 -3.17120970170511e+18 -9347.97147644009 21186.10384887402 2064.2336151942445 1.9884098706980512e+33
-5.789237976610665e+18 6.87857292628576e+18 -3.41298969612825e+17 -7717.354567043426 -21600.985864206228 286.2044993176305 1.9884098706980512e+33
2.9439976925894804e+18 2.1201099407416087e+18 5.220713625169036e+18 14979.722721380891 23450.85959347527 -24382.885765860978 1.9884098706980512e+33
-4.620951685143454e+18 -3.5445230525447045e+18 -6.836176694315738e+17 841.6609842081951 6905.0523997373775 -32996.755178820466 1.9884098706980512e+33
4.123834640074522e+17 -4.770741056545602e+18 -1.6686980078632466e+18 12257.532576276546 14630.032597854573 -3795.5693763724703 1.9884098706980512e+33
-6.591361767643583e+18 2.8319987502073124e+18 2.551298427489533e+18 -21941.695413618465 23041.390571865442 15198.599991346811 1.9884098706980512e+33
3.5413334745223613e+18 -4.2466392432921536e+17 -6.088446421950678e+18 3583.413996283739 -30188.01611587747 12002.252050431807 1.9884098706980512e+33
-5.61232070923873e+18 -4.722013351589022e+17 -1.5122081527848128e+18 8331.461483256287 7425.099695810354 -38983.46746622649 1.9884098706980512e+33
-1.9728311389663488e+18 4.5296421936623483e+18 -5.780372949696827e+17 3902.55832654491 22463.82235173154 27347.72798417902 1.9884098706980512e+33
6.188732632307527e+18 4.3550105989867474e+18 4.0740078336516567e+18 13276.225202606405 -21900.507891302463 -9505.976128444217 1.9884098706980512e+33
-4.218848423124149e+17 1.1887810780799636e+18 4.114327069085823e+17 9868.25743623981 -29366.20163669465 -7701.52759785371 1.9884098706980512e+33
3.2636979344413425e+18 6.100170869750338e+18 6.334606619762748e+18 -11025.829806427148 -6218.0969472921315 1054.6469102380286 1.9884098706980512e+33
1.2356639849569518e+18 2.827036412848843e+18 -2.530314803300655e+18 1331.8543424741301 20240.936745311265 -32632.78490369498 1.9884098706980512e+33
-3.841865223445156e+18 -4.024092823632627e+18 1.01056434795333e+16 55728.53453377346 -2923.0061502915673 3617.1486917667885 1.9884098706980512e+33
-2.8409313255470336e+18 -7.136904408115511e+18 -5.30992829697951e+17 27021.696858298583 16703.347813752767 3269.0263578795357 1.9884098706980512e+33
