1000 1000 1635367781873.7354 3.050124280183729e+18 10 6.67e-08
1.3897053589533463e+18 -6.453205596373566e+18 2.804895078112516e+18 -14175.133288750383 37189.51048635285 27524.785400475754 3.976819741396102e+33
-1.2801471147981053e+18 -3526512673749892.0 -3.611689426259461e+18 -21231.0613854534 5549.633122619972 -19529.11911029537 3.976819741396102e+33
1.3592567526570445e+18 -4.4207710564012923e+18 -6.085004967801658e+18 9847.73035081092 -37685.473293658644 -17552.557730380086 3.976819741396102e+33
2.8178650457067423e+18 -4.2117710256503127e+18 4.66783064173822e+18 -50795.913498653514 -65604.06158920386 24758.78496956628 3.976819741396102e+33
2.7574737427517256e+18 -3.7717524358433633e+18 7.004509071470425e+18 33741.1355816172 34536.87243563373 26271.328663546872 3.976819741396102e+33
1.5127055588286607e+18 -3.540355384303096e+18 -7.021622753222807e+17 -18940.158715588415 14360.911231109805 39528.90597447569 3.976819741396102e+33
-1.8265511745362002e+18 4.753617465561497e+18 5.10362531437414e+18 -27295.2727446566 3663.292295691871 -37683.10033978858 3.976819741396102e+33
2.0489073318832233e+18 6.366931972501427e+18 -5.993392081126058e+18 -48840.90787414811 -40639.552290143314 28091.922987764126 3.976819741396102e+33
1.889106905999643e+18 -5.1353892675686074e+17 3.226701909198181e+18 -97131.07330304007 21138.390276280617 80222.28592558342 3.976819741396102e+33
-3.4142272989938084e+18 -1.089060249519046e+17 -1.2202039407693043e+18 -64145.55431452221 1318.9217291563482 74127.71034164165 3.976819741396102e+33
1.2783496626128353e+18 6.913149987846836e+18 -3.2127998302167173e+18 5341.539762044553 -12619.223605714134 11311.604506951422 3.976819741396102e+33
-2.442516605235303e+17 -6.103895918178452e+18 -2.5973392863252454e+18 -59576.05143240805 68348.03249756996 32846.738944665754 3.976819741396102e+33
4.65808701216307e+18 9.613394978074266e+17 -4.129103596226306e+18 39607.08043418968 -8890.262330662472 -31204.26312370127 3.976819741396102e+33
1.1434931959229663e+18 -3.6886539972506593e+18 -6.559946494136747e+18 -44004.36778875819 25489.884073729318 35332.617906101645 3.976819741396102e+33
-3.997862183116264e+18 5.962312821398164e+18 -2.7584139882154276e+18 29830.083252604192 64706.53225064224 -13622.739079794295 3.976819741396102e+33
-2.89472805565689e+18 -2.007191676655311e+18 5.375950992622963e+18 -57062.30365714016 8073.982789474512 2844.1823573665383 3.976819741396102e+33
1.2261960699835533e+18 -6.603896155875679e+17 -3.621437505616914e+18 69060.19837580321 -40576.196389234996 -44456.51276986536 3.976819741396102e+33
-1.4620927522598912e+18 -5.263240171172822e+18 2.2387060208796111e+18 -26443.46939138117 -65988.12822073822 7587.199793350827 3.976819741396102e+33
